unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.2126,0,0.2126,,0.3146,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Nord
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.1846,0.0051,0.1897,,0.2791,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Plateau Central
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.1031,0,0.1031,,0.4711,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Sahel
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.1717,0,0.1717,,0.3774,N,,N,,N,,None,None,N,,N,,,,,,,7483,Y_1752,Sud-Ouest
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.3313,0.0013,0.3326,,0.1968,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Boucle de Mouhoun
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.2522,0,0.2522,,0.1322,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Cascades
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.4127,0.0463,0.459,,0.2079,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Centre (including Ouagadougou)
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.2459,0.0293,0.2752,,0.2461,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Centre-Est
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.2861,0.0101,0.2962,,0.2738,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Centre-Nord
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.3605,0.0185,0.379,,0.2141,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Centre-Ouest
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.3547,0,0.3547,,0.1553,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,Centre-Sud
